location,year,date,doy,AirTemp_max,AirTemp_min,RH%,precip_mm,accum_precip_mm,SoilTemp_2in_max,SoilTemp_2in_min,rad_Mjm2,Etc_grass_mm,Etc_alfalfa_mm
Ottawa,2015,1-Jan,1,0.5,-9.2,67.1,0,0,0.5,-5.2,5.5,0.91,1.42
Ottawa,2015,2-Jan,2,1.2,-3,86.9,0,0,1,-1.6,2.9,0.47,0.6
Ottawa,2015,3-Jan,3,5,-7.5,92.1,2.54,2.54,4.5,-0.9,4.9,0.5,0.65
Ottawa,2015,4-Jan,4,-7.1,-13.2,65.3,0,2.54,-0.4,-3.7,10.7,0.53,0.79
Ottawa,2015,5-Jan,5,-2.3,-15,66.9,0,2.54,-0.5,-4.5,8.1,0.7,1.07
Ottawa,2015,6-Jan,6,-1.8,-8.9,61.9,0,2.54,0.7,-4.2,9.5,0.67,1.01
Ottawa,2015,7-Jan,7,-6.2,-19.1,57.8,0,2.54,-1.9,-9,9.7,0.59,0.91
Ottawa,2015,8-Jan,8,0.8,-19.2,58.9,0,2.54,-0.1,-10.2,6.8,1.24,1.99
Ottawa,2015,9-Jan,9,-4.5,-15.7,51.4,0.51,3.05,0.3,-8.5,11,0.65,1
Ottawa,2015,10-Jan,10,3.1,-15.8,50.6,0,3.05,1.2,-9.5,10.6,1.71,2.78
Ottawa,2015,11-Jan,11,3.3,-5.9,75.5,0.25,3.3,1.3,-5,3.2,0.84,1.26
Ottawa,2015,12-Jan,12,-0.1,-10.2,65.5,0,3.3,1.5,-5.7,10.7,0.74,1.12
Ottawa,2015,13-Jan,13,-1.6,-14.1,62.9,0,3.3,3.6,-8,10.5,0.57,0.83
Ottawa,2015,14-Jan,14,5,-8.1,59.9,0,3.3,4.5,-4.8,6.4,0.98,1.49
Ottawa,2015,15-Jan,15,11.4,-10.2,64.7,0,3.3,6.4,-6.4,11,1.29,2.04
Ottawa,2015,16-Jan,16,15.8,-6.1,59.1,0,3.3,7.6,-3.9,11.1,2.71,4.44
Ottawa,2015,17-Jan,17,13.8,0.1,52.2,0,3.3,8.4,-0.8,8.8,2.36,3.82
Ottawa,2015,18-Jan,18,16.9,-2.8,48,0,3.3,10.5,-1.7,9.7,2.06,3.33
Ottawa,2015,19-Jan,19,19.4,-5.7,57.3,0,3.3,11.9,-2.1,10.5,2.02,3.25
Ottawa,2015,20-Jan,20,11.5,-2.7,60.3,0,3.3,9.9,-1.1,5.6,1.12,1.66
Ottawa,2015,21-Jan,21,9.8,-2.8,58.4,0,3.3,8,-1.6,9.7,1.18,1.76
Ottawa,2015,22-Jan,22,4.4,-6,73.1,0,3.3,8.2,-2,6.8,0.63,0.81
Ottawa,2015,23-Jan,23,8.6,-9.8,69.6,0,3.3,7.6,-3.8,11.3,1.25,1.9
Ottawa,2015,24-Jan,24,16.2,-2.8,60.4,2.29,5.59,12.8,-1.4,10.5,2.17,3.44
Ottawa,2015,25-Jan,25,8,-1.4,79.4,0,5.59,5.1,-0.4,1.7,0.84,1.2
Ottawa,2015,26-Jan,26,17.1,-5.3,69,0,5.59,13.9,-1.6,12,1.72,2.63
Ottawa,2015,27-Jan,27,15.2,-1,61.9,0,5.59,16.2,-0.5,12.1,1.83,2.81
Ottawa,2015,28-Jan,28,23.2,1,52.4,0,5.59,16.9,-0.1,10.7,4.25,6.92
Ottawa,2015,29-Jan,29,12.4,-4.1,64.5,0,5.59,10.1,-1.5,5.3,1.42,2.15
Ottawa,2015,30-Jan,30,4,-8.1,74.9,0,5.59,9.3,-2.9,9.4,0.72,0.94
Ottawa,2015,31-Jan,31,4.7,0.7,92.4,20.32,25.91,3.8,1.5,1.7,0.73,1.02
Ottawa,2015,1-Feb,32,3.9,-11.5,87.7,8.13,34.04,3.1,-2.7,2,0.65,0.94
Ottawa,2015,2-Feb,33,-2.8,-14.9,75,0,34.04,1.1,-4.6,13.2,0.71,0.99
Ottawa,2015,3-Feb,34,9.2,-6.5,70.4,0,34.04,3.4,-3.5,12.6,1.68,2.55
Ottawa,2015,4-Feb,35,-0.1,-10.8,82.6,0,34.04,-0.5,-4.1,2.1,0.53,0.73
Ottawa,2015,5-Feb,36,-0.8,-14.1,67.2,0,34.04,0.4,-5.4,11.6,0.98,1.46
Ottawa,2015,6-Feb,37,12.2,-4.2,66.3,0,34.04,6.1,-3.4,13.1,2.29,3.56
Ottawa,2015,7-Feb,38,16.4,1.8,74.2,0,34.04,11.5,-0.2,13.8,2.35,3.55
Ottawa,2015,8-Feb,39,20.1,4.7,65.5,0,34.04,17.7,2.6,13.4,2.33,3.43
Ottawa,2015,9-Feb,40,6.2,-2.9,83.5,0,34.04,10.6,-0.7,6.4,0.83,1.08
Ottawa,2015,10-Feb,41,12.5,-3.6,70.8,0,34.04,17.1,-1.4,14,1.83,2.68
Ottawa,2015,11-Feb,42,3.5,-4.4,73,0,34.04,7.8,-1.6,10.8,1,1.33
Ottawa,2015,12-Feb,43,-2,-10.7,54.8,0,34.04,2.7,-4,11.8,0.97,1.37
Ottawa,2015,13-Feb,44,8.3,-7.5,58.5,0,34.04,6.5,-3.9,12.1,1.44,2.07
Ottawa,2015,14-Feb,45,5.8,-7.4,59.3,0,34.04,10.5,-5.1,14.6,1.52,2.21
Ottawa,2015,15-Feb,46,-5.9,-10.7,55.8,0,34.04,0.4,-8.8,7,0.8,1.18
Ottawa,2015,16-Feb,47,-4.5,-12,77.7,0.25,34.29,0.6,-4.4,9.3,0.62,0.78
Ottawa,2015,17-Feb,48,0.4,-11.9,77.6,0.51,34.8,1.4,-4.1,10.5,0.79,1.01
Ottawa,2015,18-Feb,49,-6.8,-15,59.9,0,34.8,0.5,-4.5,16.4,0.81,1.08
Ottawa,2015,19-Feb,50,-5.2,-15.8,65.1,0,34.8,-0.1,-5.9,8.1,0.76,1.09
Ottawa,2015,20-Feb,51,3.3,-10.3,80.9,0.25,35.05,1.3,-6.1,6.2,0.85,1.19
Ottawa,2015,21-Feb,52,10.1,-2.6,84.5,5.84,40.89,9.2,-0.8,15.2,1.41,1.76
Ottawa,2015,22-Feb,53,-2.5,-8.4,55.3,0,40.89,-0.1,-3.2,8.6,1.01,1.43
Ottawa,2015,23-Feb,54,-4.4,-12.6,46.7,0,40.89,3.1,-5,14.7,1,1.35
Ottawa,2015,24-Feb,55,8.1,-10.3,58.9,0,40.89,5.9,-5.8,16.9,1.85,2.66
Ottawa,2015,25-Feb,56,11.5,-7,68,0,40.89,8.3,-3.2,15,2.16,3.18
Ottawa,2015,26-Feb,57,-5.1,-13.3,61.2,0,40.89,0.7,-6.5,17.5,1.04,1.42
Ottawa,2015,27-Feb,58,-6.4,-15.1,58.7,0,40.89,2.2,-7.7,11.9,0.79,1.06
Ottawa,2015,28-Feb,59,-5.6,-8.7,82.8,0,40.89,-0.7,-5.6,5.6,0.61,0.79
Ottawa,2015,1-Mar,60,-0.4,-8.1,85.1,3.3,44.19,2.6,-3.5,13.2,0.86,0.93
Ottawa,2015,2-Mar,61,2,-10.6,76.4,0,44.19,3.3,-4.7,11,1.12,1.56
Ottawa,2015,3-Mar,62,9.3,-1.2,84,0,44.19,5,-0.9,5,1.2,1.71
Ottawa,2015,4-Mar,63,-1.1,-7.9,61.8,0.25,44.44,-0.4,-2.8,7,0.94,1.3
Ottawa,2015,5-Mar,64,0.6,-11.8,57.2,0,44.44,6.5,-5.7,18.8,1.36,1.78
Ottawa,2015,6-Mar,65,15.9,-5.7,56.1,0,44.44,11.7,-3.3,18.4,3.65,5.57
Ottawa,2015,7-Mar,66,21.2,0.6,52.5,0,44.44,21.9,-0.7,18.6,3.76,5.57
Ottawa,2015,8-Mar,67,19.7,2.3,58.5,0,44.44,20.2,0.9,17.6,3.65,5.37
Ottawa,2015,9-Mar,68,15.4,-2.8,73.2,0,44.44,18.5,-0.8,14.1,1.95,2.53
Ottawa,2015,10-Mar,69,21.3,3.3,66.2,0,44.44,25.8,3.6,17.5,2.79,3.7
Ottawa,2015,11-Mar,70,24.5,2.3,55.2,0,44.44,26.7,2,18.9,3.28,4.5
Ottawa,2015,12-Mar,71,22.3,2.3,52.7,0,44.44,27.3,2.5,19,3.46,4.85
Ottawa,2015,13-Mar,72,22.7,5,54.1,0,44.44,24.8,5.2,15.5,2.74,3.63
Ottawa,2015,14-Mar,73,17.9,3.1,55.7,0,44.44,23.5,2.8,17,2.71,3.62
Ottawa,2015,15-Mar,74,23.3,-2.5,58.2,0,44.44,25.7,-0.8,19.6,4.31,6.39
Ottawa,2015,16-Mar,75,27.2,5.7,55.4,0,44.44,28.4,5.1,20,5.86,8.9
Ottawa,2015,17-Mar,76,15.1,5,48.6,0,44.44,25.2,5.5,19.6,3.13,4.3
Ottawa,2015,18-Mar,77,7.5,2.6,73,4.06,48.5,7.4,3.6,3.2,1.62,2.44
Ottawa,2015,19-Mar,78,5.5,2.3,96.8,4.32,52.82,9.8,3.4,4.5,0.68,0.71
Ottawa,2015,20-Mar,79,18.8,-2.2,77,0,52.82,23.2,-0.2,18.2,2.61,3.35
Ottawa,2015,21-Mar,80,22.6,1.8,65.4,0,52.82,28.7,2.1,19,3.01,3.85
Ottawa,2015,22-Mar,81,22.5,3.5,60.2,0,52.82,29.7,4.1,19.1,3.54,4.81
Ottawa,2015,23-Mar,82,16.1,5.3,59,0,52.82,28.3,5.4,18.1,2.85,3.74
Ottawa,2015,24-Mar,83,16.9,2.5,82.2,1.52,54.34,25.3,3.9,9.5,2.04,2.81
Ottawa,2015,25-Mar,84,14.6,1.5,88.3,1.27,55.61,21.1,2.8,11.4,1.8,2.25
Ottawa,2015,26-Mar,85,11.8,0.2,64.2,0,55.61,23.5,1.1,21.7,2.5,3.06
Ottawa,2015,27-Mar,86,8.1,0.2,59.3,0,55.61,24,1.5,19.8,2.25,2.81
Ottawa,2015,28-Mar,87,12.7,2.7,55.2,0,55.61,25.6,3.3,21.2,3.27,4.59
Ottawa,2015,29-Mar,88,21.5,2.9,64.5,0,55.61,27.5,2.9,15.5,3.65,5.22
Ottawa,2015,30-Mar,89,22.1,-1.7,54.1,0,55.61,28.6,-0.6,22.2,4.57,6.61
Ottawa,2015,31-Mar,90,25.3,5.3,44.3,0,55.61,37.5,4.9,22.5,4.46,6.12
Ottawa,2015,1-Apr,91,25.9,7,61.2,0,55.61,32,6.5,20.3,5.21,7.59
Ottawa,2015,2-Apr,92,21.2,10.8,70.2,2.29,57.9,30.6,9.9,16.5,3.16,4.06
Ottawa,2015,3-Apr,93,12.9,-0.9,63.8,4.32,62.22,20.5,1.5,19.6,2.62,3.38
Ottawa,2015,4-Apr,94,16.5,-4.5,56.4,0,62.22,24.3,-1.4,23.6,3.84,5.44
Ottawa,2015,5-Apr,95,15.7,1.5,72.8,0,62.22,21.5,1,12,2.92,4.26
Ottawa,2015,6-Apr,96,19.5,8.8,90.3,0,62.22,20.2,8.7,6.2,1.71,2.32
Ottawa,2015,7-Apr,97,30.4,13.2,72.4,0,62.22,34.1,13.7,18.3,5.29,7.47
Ottawa,2015,8-Apr,98,27.1,10.6,83.4,0,62.22,36.5,11.5,10.7,3.39,4.79
Ottawa,2015,9-Apr,99,24,3.3,70.3,0,62.22,24,4,13.7,3.97,5.84
Ottawa,2015,10-Apr,1,20.9,0.6,51.5,0,62.22,32.8,1.6,24,3.95,5.22
Ottawa,2015,11-Apr,101,22.1,7.2,52.4,0,62.22,28.4,7.2,19.5,4.68,6.68
Ottawa,2015,12-Apr,102,20.7,10.6,78.4,26.92,89.14,23.5,10.4,10,2.64,3.66
Ottawa,2015,13-Apr,103,17.3,10.6,64.8,8.13,97.27,18.5,10.1,12.2,2.47,3.08
Ottawa,2015,14-Apr,104,19.8,7.1,45.3,0,97.27,22.8,7.9,19.9,4.29,5.97
Ottawa,2015,15-Apr,105,14,10.8,78.7,0,97.27,17,9.9,6.8,1.9,2.6
Ottawa,2015,16-Apr,106,24.1,11.6,80.3,0,97.27,32.1,10.7,20.4,3.83,4.73
Ottawa,2015,17-Apr,107,23.9,11.4,77.8,0,97.27,30.7,11.4,14,3.02,3.78
Ottawa,2015,18-Apr,108,19.3,12.9,90.8,20.57,117.84,27.4,12.8,7.2,1.71,2.09
Ottawa,2015,19-Apr,109,19.7,9,80.6,6.6,124.44,23.7,8.2,12.7,2.58,3.24
Ottawa,2015,20-Apr,110,15,5.1,54.6,0,124.44,19.9,5.2,24.6,3.98,5.32
Ottawa,2015,21-Apr,111,21.5,3.5,55.1,0,124.44,26.9,4.6,24.5,4.07,5.18
Ottawa,2015,22-Apr,112,14.8,3.5,50.6,0,124.44,26.4,5.1,23.5,3.16,3.72
Ottawa,2015,23-Apr,113,17.8,5.3,49,0,124.44,22.8,5.8,12.8,3.44,4.91
Ottawa,2015,24-Apr,114,20.6,10.6,72.6,0,124.44,19.1,10.2,6.4,2.95,4.38
Ottawa,2015,25-Apr,115,18.6,9.4,89.8,18.8,143.24,20.3,11,11.1,2.1,2.56
Ottawa,2015,26-Apr,116,15,8.5,76.2,0,143.24,19.7,7.9,11.1,2.27,2.94
Ottawa,2015,27-Apr,117,18.8,5.4,58.2,0,143.24,24,6.4,22.4,3.67,4.58
Ottawa,2015,28-Apr,118,22,6.2,55.9,0,143.24,27.7,6.6,26.2,3.9,4.43
Ottawa,2015,29-Apr,119,22.9,8.5,52.2,0,143.24,28.6,8.1,26.3,4.23,4.97
Ottawa,2015,30-Apr,120,23.9,6.9,50.2,0,143.24,30.6,8,26.9,4.3,5.09
Ottawa,2015,1-May,121,25,6.6,52.6,0,143.24,33.2,7.5,24.9,4.69,5.98
Ottawa,2015,2-May,122,25,10,58.1,0,143.24,28.9,10.4,15.8,4.65,6.62
Ottawa,2015,3-May,123,28.5,15,58.5,0,143.24,30.4,13,19.8,6.4,9.29
Ottawa,2015,4-May,124,29.1,16,66.2,2.79,146.03,34.1,14.4,22.3,5.72,7.73
Ottawa,2015,5-May,125,27.3,14.6,76.6,7.11,153.14,33,14,20.1,5.02,6.72
Ottawa,2015,6-May,126,23.1,16.8,75.9,1.27,154.41,23.4,15.2,10.9,3.46,4.9
Ottawa,2015,7-May,127,22.2,16,84.4,40.89,195.3,21.3,15.6,4.1,1.93,2.71
Ottawa,2015,8-May,128,22.5,16,88.8,13.97,209.27,26.1,15.4,12.3,2.48,2.74
Ottawa,2015,9-May,129,24.4,15.2,82.9,0.25,209.52,26.5,14.9,15.8,3.48,4.37
Ottawa,2015,10-May,130,23.6,11.7,83.6,7.62,217.14,25,11.4,10.1,2.73,3.63
Ottawa,2015,11-May,131,17.6,6.1,62.8,0,217.14,23.1,7.1,27.4,4.16,5.11
Ottawa,2015,12-May,132,20.9,3.9,60,0,217.14,29.1,5.7,27.7,4.23,5.04
Ottawa,2015,13-May,133,20.1,6.6,73.2,12.7,229.84,21.8,7.7,16.3,3.55,4.79
Ottawa,2015,14-May,134,24.5,12.8,87.8,12.7,242.54,27.5,13.1,13.3,3.29,4.37
Ottawa,2015,15-May,135,25.4,19.6,78.9,0,242.54,26.7,17.8,12.4,3.36,4.4
Ottawa,2015,16-May,136,27.2,16,84,49.28,291.82,28.4,16.9,17.6,4.16,5.38
Ottawa,2015,17-May,137,26.4,16,77,0.25,292.07,27.9,16.4,24.5,5.55,7.35
Ottawa,2015,18-May,138,21.2,11.2,72.3,0,292.07,28.7,12.6,27.6,4.33,4.79
Ottawa,2015,19-May,139,16.7,8,70.2,0.76,292.83,20.6,9.6,17.7,2.98,3.56
Ottawa,2015,20-May,140,12.4,9.1,91.6,20.32,313.15,15.7,10.6,5.2,1.15,1.27
Ottawa,2015,21-May,141,19.7,8,69.4,0,313.15,27.4,9.6,27.7,4.12,4.57
Ottawa,2015,22-May,142,17.8,7.3,76.6,0,313.15,19.6,9.1,10.5,2.4,3.06
Ottawa,2015,23-May,143,18.4,13.2,89.1,44.2,357.35,19.2,12.8,6.6,1.74,2.22
Ottawa,2015,24-May,144,21.2,16.1,90.7,3.56,360.91,25.8,16,10.5,2.34,2.83
Ottawa,2015,25-May,145,26.8,15.3,82.7,6.6,367.51,28.7,15.2,23.1,4.81,6.04
Ottawa,2015,26-May,146,26.7,15.3,76,4.57,372.08,30.6,16.3,23.5,4.92,6.09
Ottawa,2015,27-May,147,26.6,14.5,66.7,0,372.08,32.4,14.3,26.3,4.92,5.66
Ottawa,2015,28-May,148,22.8,17.4,87,19.3,391.38,26.1,16.6,9.6,2.28,2.7
Ottawa,2015,29-May,149,20.6,16.8,95.2,22.1,413.48,21.6,17,6.5,1.49,1.68
Ottawa,2015,30-May,150,18.1,12.9,89.5,0.25,413.73,20.4,15.5,8.1,1.67,1.81
Ottawa,2015,31-May,151,19.2,13.9,80.6,0,413.73,23.2,14.9,11.3,2.26,2.5
Ottawa,2015,1-Jun,152,19.3,13.3,80.6,0,413.73,28.3,13.7,17,3.08,3.59
Ottawa,2015,2-Jun,153,25.1,13.1,81.7,0,413.73,30.8,13.1,22.5,4.22,5.09
Ottawa,2015,3-Jun,154,25.7,18.2,84.3,11.94,425.67,30,17.1,15.1,3.43,4.23
Ottawa,2015,4-Jun,155,28.2,18.1,81.9,14.73,440.4,29.3,18.1,15.6,3.79,4.7
Ottawa,2015,5-Jun,156,29.3,16.7,79.1,22.61,463.01,36.1,17.2,24.5,4.81,5.32
Ottawa,2015,6-Jun,157,29.8,19.2,81.1,0,463.01,33.3,19.2,22.2,4.79,5.63
Ottawa,2015,7-Jun,158,33,22.4,66.4,0,463.01,33,20.1,25.9,6.94,9.04
Ottawa,2015,8-Jun,159,31.2,19.6,58.1,0,463.01,31,23.1,24.4,4.97,5.47
Ottawa,2015,9-Jun,160,33.7,16.8,65.2,0,463.01,32,19.9,28.3,5.99,6.99
Ottawa,2015,10-Jun,161,35,21.2,64.6,0,463.01,32.3,22.2,26.8,6.94,8.8
Ottawa,2015,11-Jun,162,33.4,23.1,62.6,0,463.01,29.3,22.3,19.2,6.63,9.22
Ottawa,2015,12-Jun,163,27.2,19.5,78.5,0,463.01,30.7,22.4,17,3.55,3.88
Ottawa,2015,13-Jun,164,26.3,20,86,2.79,465.8,28.6,21.8,12,2.86,3.32
Ottawa,2015,14-Jun,165,29,20,85.9,17.27,483.07,28.7,21.5,15.5,3.89,4.85
Ottawa,2015,15-Jun,166,28.2,21.4,84.6,0,483.07,28.5,21.9,13.4,3.42,4.17
Ottawa,2015,16-Jun,167,25.3,20.1,85,0,483.07,25.7,22,10,2.3,2.52
Ottawa,2015,17-Jun,168,29.7,20.6,84.1,0,483.07,29.4,21.4,17.7,4.21,5.02
Ottawa,2015,18-Jun,169,28.4,20.4,84.8,8.89,491.96,28.5,22.2,16.9,3.69,4.14
Ottawa,2015,19-Jun,170,29.9,17.9,70.9,0,491.96,31.5,20.5,30.4,5.74,6.24
Ottawa,2015,20-Jun,171,35.1,19.6,67.9,0,491.96,30.1,21.6,27.7,7.67,10.21
Ottawa,2015,21-Jun,172,32.7,23.8,70.7,0,491.96,29.9,23.4,23.6,6.61,8.73
Ottawa,2015,22-Jun,173,33.9,23,69.1,0,491.96,31.7,23.2,26.8,7.47,9.97
Ottawa,2015,23-Jun,174,29.2,21.6,64.4,0,491.96,31.2,23.5,22.2,5.02,5.94
Ottawa,2015,24-Jun,175,35.3,20.4,67.5,0,491.96,34.7,22.4,27,7.46,9.85
Ottawa,2015,25-Jun,176,35.8,24.5,61.5,0,491.96,35.8,24.4,25.2,7.42,9.77
Ottawa,2015,26-Jun,177,29,18,82.6,32.77,524.73,31.6,22.4,17.1,3.88,4.52
Ottawa,2015,27-Jun,178,28.8,16.8,72.3,0,524.73,31.1,20.4,27.4,5.09,5.45
Ottawa,2015,28-Jun,179,32.3,17.6,64,0,524.73,31.2,21.1,26.8,6.13,7.53
Ottawa,2015,29-Jun,180,31.4,17.8,63.7,0,524.73,31.4,21.1,27.7,5.29,5.65
Ottawa,2015,30-Jun,181,33.3,18,66.4,0,524.73,31.6,21.8,22.2,5.17,6.17
Ottawa,2015,1-Jul,182,32.9,20.7,73.1,0,524.73,32.3,22.9,20,5.53,7.16
Ottawa,2015,2-Jul,183,26.2,20.4,84.4,0,524.73,27.8,23.8,8.4,2.22,2.58
